"geocode","tax_auth_id","group","item","customer","provider","transaction","taxable","tax_type","tax_cat","effective","per_taxable_type","percent_taxable"
"US3900000000","","7777","004","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","004","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","004","99","99","01","0","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","005","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","005","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","005","0B","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","005","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","005","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","005","99","99","01","0","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","006","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","006","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","006","0B","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","006","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","006","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","006","99","99","01","0","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","007","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","007","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","007","0B","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","007","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","007","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","007","99","99","01","0","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","008","99","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","008","99","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","008","99","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","009","99","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","009","99","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","009","99","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","010","99","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","010","99","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","010","99","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","011","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","011","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","011","0B","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","011","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","011","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","011","99","99","01","0","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","012","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","012","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","012","0B","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","012","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","012","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","012","99","99","01","0","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","015","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","015","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","015","0B","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","015","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","015","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","015","99","99","01","0","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","016","0B","99","01","1","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","016","0B","99","01","1","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","016","0B","99","01","1","05","01","1990-01-01","01","1.000000"
"US3900000000","","7777","016","99","99","01","0","01","01","1990-01-01","01","1.000000"
"US3900000000","","7777","016","99","99","01","0","02","01","1990-01-01","01","1.000000"
"US3900000000","","7777","016","99","99","01","0","05","01","1990-01-01","01","1.000000"
